,timestamp,ID,r_len,P1_age,P1_gender,P1_nationality,P1_r_type,P1_IOS,P2_age,P2_gender,P2_nationality,P2_r_type,P2_IOS,key_press,rt,trial_stim
0,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.4712022080202587,BL
1,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.05002500000409782,YR
2,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.24876979101100005,YR
3,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.24454862499260344,BR
4,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.24086891699698754,YL
5,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.34851412498392165,YL
6,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.3343743340228684,BR
7,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.05357820802601054,BR
8,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.36282333300914615,BL
9,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.588701291999314,YR
10,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.5546681669948157,BM
11,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.5732117919833399,YL
12,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.42498304101172835,BL
13,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.4128354160056915,BL
14,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.45799754199106246,YM
15,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.5284434999921359,BL
16,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.41118362499400973,BL
17,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.3940512909903191,BR
18,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.5641012080013752,YR
19,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.7109493330062833,YM
20,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.45314320898614824,YM
21,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.3808224580134265,BR
22,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.3806238340039272,BR
23,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.3744846659828909,YR
24,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.37245475000236183,YL
25,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.5001057499903254,BL
26,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.4510904579947237,YL
27,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.4459349170210771,YR
28,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.40946070800418966,BM
29,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.5204734579892829,BR
30,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.6025751249981113,BM
31,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.40237591598997824,YL
32,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.5006476659909822,YM
33,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.4527885410061572,YL
34,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.5246519169886597,YR
35,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.43880125001305714,BL
36,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.40640649999841116,YL
37,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.4042837919841986,BM
38,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.46467724998365156,BR
39,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.47020374998101033,BM
40,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.48193354200338945,BM
41,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.4642552919976879,YR
42,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.5674783330177888,BM
43,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.5389439169957768,BR
44,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.43793470901437104,BL
45,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.48217508298694156,YL
46,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.5357363329967484,BL
47,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.46486212499439716,YL
48,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.5228018329944462,YR
49,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.6011447500204667,YL
50,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.3868165419844445,BL
51,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.5008242909971159,BR
52,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.33606283299741335,BR
53,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.43715674997656606,YR
54,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.44289524998748675,YR
55,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.45902599999681115,BL
56,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.5464818330074195,YL
57,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.5260503750178032,YM
58,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.5052863330056425,BL
59,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.5339297909813467,BL
60,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.5304159999941476,BR
61,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.6213565829966683,YL
62,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.5689869159832597,YR
63,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.7418362080061343,YM
64,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.43238279200159013,YL
65,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.513055749994237,YM
66,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.5014657919819001,YR
67,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.6422900409961585,BR
68,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,p,0.9279755839961581,BR
69,2022_Jan_20_1212,61014,3,11,Female,MMS,Friends,2,33,Female,feef,Family,4,w,0.4566160830145236,YR
